STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
33;Erik;Eriksson;Joel;Tomelilla;;;INT A 7772;Schw;;Menzel;Nico;Kelberg;;;ITC 13283;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;10:59:24.623;10:59:24.623;8:12.569;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;492,569;BIF 22213   ;2
33;Erik;Eriksson;Joel;Tomelilla;;;INT A 7772;Schw;;Menzel;Nico;Kelberg;;;ITC 13283;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);2;11:07:39.844;11:07:39.844;8:15.221;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,221;BIF 22213   ;2
40;Sche;Scheider;Timo;Lochau;;;21463;Öste;;Tomczyk;Martin;Kolbermoor;;;INTC-21060;Deut;;Rockenfeller;Mike;Landschlacht;;;ITC-205 WADB;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Öste;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;10:57:59.998;10:57:59.998;8:16.242;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,242;26780       ;3
40;Sche;Scheider;Timo;Lochau;;;21463;Öste;;Tomczyk;Martin;Kolbermoor;;;INTC-21060;Deut;;Rockenfeller;Mike;Landschlacht;;;ITC-205 WADB;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Öste;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:06:15.483;11:06:15.483;8:15.485;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,485;26780       ;3
44;Hein;Heinemann;Tim;Fichtenberg;;;ITC-C24805;Deut;;Ragginger;Martin;Wals;;;JA 1113;Öste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;10:58:51.594;10:58:51.594;8:15.466;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,466;BIF 22213   ;1
44;Hein;Heinemann;Tim;Fichtenberg;;;ITC-C24805;Deut;;Ragginger;Martin;Wals;;;JA 1113;Öste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);2;11:07:06.589;11:07:06.589;8:14.995;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,995;BIF 22213   ;1
50;Heim;Heimrich;Michael;Oberursel;;;ITC-C 20178;Deut;;Klasen;Arno;Karlshausen;;;ITC-C25715;Deut;J;Bollrath;Christian;Atlanta;;;ITC18283;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;1;11:00:56.445;11:00:56.445;8:28.617;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;508,617;BIF29672    ;2
50;Heim;Heimrich;Michael;Oberursel;;;ITC-C 20178;Deut;;Klasen;Arno;Karlshausen;;;ITC-C25715;Deut;J;Bollrath;Christian;Atlanta;;;ITC18283;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;2;11:09:29.769;11:09:29.769;8:33.324;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;513,324;BIF29672    ;2
69;Dörr;Dörr;Phil;Butzbach;;;26702;Deut;J;Turner;Darren;Warkwickshire;;;51801;Groß;J;Dörr;Ben;Butzbach;;;31828;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Dörr Motorsport;PRO-AM                                                      ;Aston Martin Vantage AMR GT3;1;11:00:03.492;11:00:03.492;8:32.730;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;512,730;16982       ;1
72;De P;De Phillippi;Connor;Cornelius, NC;;;ITB-D3143-I;USA;;Johansson;Erik;Gnosjö;;;INTB7823;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;BMW Junior Team;PRO                                                         ;BMW M4 GT3;1;11:00:16.242;11:00:16.242;8:19.050;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,050;16044       ;1
72;De P;De Phillippi;Connor;Cornelius, NC;;;ITB-D3143-I;USA;;Johansson;Erik;Gnosjö;;;INTB7823;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;USA ;BMW Junior Team;PRO                                                         ;BMW M4 GT3;2;11:08:34.289;11:08:34.289;8:18.047;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,047;16044       ;1
100;Walk;Walkenhorst;Henry;Melle;;;intc10319;Deut;;Breuer;Jörg;Düsseldorf;;;IC19476;Deut;;Trogen;Sami-Matti;Lohja;;;IC34736337;Finn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Walkenhorst Motorsport;PRO-AM                                                      ;BMW M4 GT3;1;11:00:31.998;11:00:31.998;8:19.544;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,544;10417       ;3
100;Walk;Walkenhorst;Henry;Melle;;;intc10319;Deut;;Breuer;Jörg;Düsseldorf;;;IC19476;Deut;;Trogen;Sami-Matti;Lohja;;;IC34736337;Finn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Walkenhorst Motorsport;PRO-AM                                                      ;BMW M4 GT3;2;11:10:47.035;11:10:47.035;10:15.037;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;615,037;10417       ;3
101;Krog;Krognes;Christian;Hamar;;;IC31791;Norw;J;Giermaziak;Jakub;Piaski;;;ITC-C/10054;Pole;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Norw;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;1;10:57:29.442;10:57:29.442;8:16.209;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,209;10417       ;2
101;Krog;Krognes;Christian;Hamar;;;IC31791;Norw;J;Giermaziak;Jakub;Piaski;;;ITC-C/10054;Pole;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Norw;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;2;11:05:51.376;11:05:51.376;8:21.934;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;501,934;10417       ;2
102;Souc;Soucek;Andy;Barcelona;;;ITB-0388-ESP;Span;;Krohn;Jesse;Vantaa;;;22196154;Finn;;Klingmann;Jens;Tägerwilen;;;C 11339;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Span;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;1;10:58:34.170;10:58:34.170;8:16.204;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,204;10417       ;3
102;Souc;Soucek;Andy;Barcelona;;;ITB-0388-ESP;Span;;Krohn;Jesse;Vantaa;;;22196154;Finn;;Klingmann;Jens;Tägerwilen;;;C 11339;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Span;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;2;11:06:50.803;11:06:50.803;8:16.633;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,633;10417       ;3
911;Chri;Christensen;Michael;Monaco;;;5635;Mona;;Estre;Kevin;HOECHST;;;171715;Öste;;Makowiecki;Frédéric;Montpellier;;;ICCA53130;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Manthey;PRO                                                         ;Porsche 911 GT3 R (992);1;10:58:58.780;10:58:58.780;8:14.847;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,847;11946       ;3
911;Chri;Christensen;Michael;Monaco;;;5635;Mona;;Estre;Kevin;HOECHST;;;171715;Öste;;Makowiecki;Frédéric;Montpellier;;;ICCA53130;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mona;Manthey;PRO                                                         ;Porsche 911 GT3 R (992);2;11:07:15.252;11:07:15.252;8:16.472;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,472;11946       ;3
