STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;5;14:44:42.841;14:44:42.841;12:12.200;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;732,200;26772       ;4
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;Schw;J;Stolz;Luca;Brachbach;;;ITC-C10277;Deut;J;Ellis;Philip;Baar;;;ITC-B462;Schw;J;Mortara;Edoardo;Geneva;;;ITC-A733;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;6;14:52:59.928;14:52:59.928;8:17.087;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;497,087;26772       ;4
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;13:47:27.767;13:47:27.767;8:17.389;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;497,389;26779       ;3
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:55:41.234;13:55:41.234;8:13.467;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,467;26779       ;3
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;14:09:13.641;14:09:13.641;13:32.407;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;812,407;26779       ;1
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;4;14:17:47.366;14:17:47.366;8:33.725;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;513,725;26779       ;1
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;14:31:30.675;14:31:30.675;13:43.309;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;823,309;26779       ;2
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;6;14:40:19.221;14:40:19.221;8:48.546;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;528,546;26779       ;2
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;13:41:43.449;13:41:43.449;8:20.531;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;500,531;26772       ;3
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;2;13:49:57.737;13:49:57.737;8:14.288;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,288;26772       ;3
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;3;13:58:12.672;13:58:12.672;8:14.935;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,935;26772       ;3
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;4;14:13:27.206;14:13:27.206;8:23.123;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;503,123;26772       ;2
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;5;14:21:55.703;14:21:55.703;8:28.497;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;508,497;26772       ;2
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;6;14:30:43.497;14:30:43.497;8:47.794;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;527,794;26772       ;2
6;Haup;Haupt;Hubert;München;;;ITC-B10328;Deut;;Love;Jordan;Perth;;;ITC-C1133481;Aust;;Maini;Arjun;;;;INTA-4A23IRC003;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;7;14:49:55.231;14:49:55.231;8:14.133;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,133;26772       ;3
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;1;13:47:37.237;13:47:37.237;8:37.638;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;517,638;BA009       ;1
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;2;14:02:16.845;14:02:16.845;8:40.028;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;520,028;BA009       ;3
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;3;14:20:15.914;14:20:15.914;8:36.822;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;516,822;BA009       ;3
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;4;14:29:44.334;14:29:44.334;9:28.420;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;568,420;BA009       ;3
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;5;14:38:48.532;14:38:48.532;9:04.198;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;544,198;BA009       ;3
