STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
33;Bach;Bachler;Klaus;Unzmarkt;;;ITC-CJA1030;AUT;;Müller;Sven;Ockenheim;;;ITC-C11220;DEU;;Picariello;Alessio;Forchies-la-Marche;;;ITC-B901589;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);2;13:09:45.550;13:09:45.550;8:16.816;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,816;22213       ;2
33;Bach;Bachler;Klaus;Unzmarkt;;;ITC-CJA1030;AUT;;Müller;Sven;Ockenheim;;;ITC-C11220;DEU;;Picariello;Alessio;Forchies-la-Marche;;;ITC-B901589;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);3;13:18:03.001;13:18:03.001;8:17.451;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;497,451;22213       ;2
33;Bach;Bachler;Klaus;Unzmarkt;;;ITC-CJA1030;AUT;;Müller;Sven;Ockenheim;;;ITC-C11220;DEU;;Picariello;Alessio;Forchies-la-Marche;;;ITC-B901589;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUT ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);4;13:26:51.078;13:26:51.078;8:48.077;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;528,077;22213       ;2
39;Haas;Haase;Christopher;Kulmbach;;;ITC-A10894;DEU;;Mies;Christopher;Düsseldorf;;;ITC-C12667;DEU;;Niederhauser;Patric;Kehrsatz;;;ITC-B1358;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Audi Sport Team Land;PRO                                                         ;Audi R8 LMS GT3 evo II;1;12:50:31.361;12:50:31.361;8:21.523;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;501,523;1068817     ;1
39;Haas;Haase;Christopher;Kulmbach;;;ITC-A10894;DEU;;Mies;Christopher;Düsseldorf;;;ITC-C12667;DEU;;Niederhauser;Patric;Kehrsatz;;;ITC-B1358;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Audi Sport Team Land;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:05:47.579;13:05:47.579;8:16.918;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,918;1068817     ;1
39;Haas;Haase;Christopher;Kulmbach;;;ITC-A10894;DEU;;Mies;Christopher;Düsseldorf;;;ITC-C12667;DEU;;Niederhauser;Patric;Kehrsatz;;;ITC-B1358;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Audi Sport Team Land;PRO                                                         ;Audi R8 LMS GT3 evo II;3;13:19:25.669;13:19:25.669;8:23.692;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;503,692;1068817     ;1
44;Erik;Eriksson;Joel;Tomelilla;;;ITC-A7772;SWE;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;DEU;;Menzel;Nico;Kelberg;;;ITC-C13283;DEU;J;Ragginger;Martin;Wals;;;ITC-BJA1113;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SWE ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;13:09:47.003;13:09:47.003;8:16.647;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,647;22213       ;4
44;Erik;Eriksson;Joel;Tomelilla;;;ITC-A7772;SWE;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;DEU;;Menzel;Nico;Kelberg;;;ITC-C13283;DEU;J;Ragginger;Martin;Wals;;;ITC-BJA1113;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SWE ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);2;13:18:03.980;13:18:03.980;8:16.977;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,977;22213       ;4
44;Erik;Eriksson;Joel;Tomelilla;;;ITC-A7772;SWE;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;DEU;;Menzel;Nico;Kelberg;;;ITC-C13283;DEU;J;Ragginger;Martin;Wals;;;ITC-BJA1113;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SWE ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);3;13:26:48.498;13:26:48.498;8:44.518;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;524,518;22213       ;4
46;Jäge;Jäger;Thomas;Putzbrunn;;;ITC-B10707;DEU;;Bird;Frank;Peterborough;;;ITC-C287640;GBR;;Erhart;Elia;Röttenbach;;;ITC-C10376;DEU;;Viebahn;Jörg;Engelskirchen;;;ITC-C16955;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team HRT;PRO-AM                                                      ;Mercedes-AMG GT2;1;12:54:36.191;12:54:36.191;8:44.921;J;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;524,921;22076       ;1
46;Jäge;Jäger;Thomas;Putzbrunn;;;ITC-B10707;DEU;;Bird;Frank;Peterborough;;;ITC-C287640;GBR;;Erhart;Elia;Röttenbach;;;ITC-C10376;DEU;;Viebahn;Jörg;Engelskirchen;;;ITC-C16955;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team HRT;PRO-AM                                                      ;Mercedes-AMG GT2;2;13:10:41.171;13:10:41.171;16:04.980;N;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;964,980;22076       ;1
46;Jäge;Jäger;Thomas;Putzbrunn;;;ITC-B10707;DEU;;Bird;Frank;Peterborough;;;ITC-C287640;GBR;;Erhart;Elia;Röttenbach;;;ITC-C10376;DEU;;Viebahn;Jörg;Engelskirchen;;;ITC-C16955;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEU ;Mercedes-AMG Team HRT;PRO-AM                                                      ;Mercedes-AMG GT2;3;13:27:06.457;13:27:06.457;8:54.088;N;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;534,088;22076       ;1
54;Vant;Vanthoor;Laurens;Heusden-Zolder;;;ITC-A903410;BEL;;Heinrich;Laurin;Kürnach;;;ITC-C11223;DEU;J;Güven;Ayhancan;Gronau;;;ITC-A0101042300421;DEU;J;Engelhart;Christian;Starnberg;;;ITC-C11279;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Dinamic GT SRL;PRO                                                         ;Porsche 911 GT3 R (992);1;12:55:29.789;12:55:29.789;8:29.276;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;509,276;498633      ;4
54;Vant;Vanthoor;Laurens;Heusden-Zolder;;;ITC-A903410;BEL;;Heinrich;Laurin;Kürnach;;;ITC-C11223;DEU;J;Güven;Ayhancan;Gronau;;;ITC-A0101042300421;DEU;J;Engelhart;Christian;Starnberg;;;ITC-C11279;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Dinamic GT SRL;PRO                                                         ;Porsche 911 GT3 R (992);2;13:03:55.226;13:03:55.226;8:25.437;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;505,437;498633      ;4
54;Vant;Vanthoor;Laurens;Heusden-Zolder;;;ITC-A903410;BEL;;Heinrich;Laurin;Kürnach;;;ITC-C11223;DEU;J;Güven;Ayhancan;Gronau;;;ITC-A0101042300421;DEU;J;Engelhart;Christian;Starnberg;;;ITC-C11279;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Dinamic GT SRL;PRO                                                         ;Porsche 911 GT3 R (992);3;13:19:23.622;13:19:23.622;8:26.436;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;506,436;498633      ;4
