STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_LIZENZ;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_LIZENZ;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_LIZENZ;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_LIZENZ;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
113;Stan;Stanco;Luigi;INT C-C994;Stanco;Armando;1108;Stanco;Dario;ITC-C280;;;;CHE ;Autorama Ag;PRO-AM                                                      ;Seat  Leon;1;14:27:20.343;14:27:20.343;9:57.135;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;597,135;Luigi Stanco;1
113;Stan;Stanco;Luigi;INT C-C994;Stanco;Armando;1108;Stanco;Dario;ITC-C280;;;;CHE ;Autorama Ag;PRO-AM                                                      ;Seat  Leon;2;14:42:55.394;14:42:55.394;9:27.238;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;567,238;Luigi Stanco;3
113;Stan;Stanco;Luigi;INT C-C994;Stanco;Armando;1108;Stanco;Dario;ITC-C280;;;;CHE ;Autorama Ag;PRO-AM                                                      ;Seat  Leon;3;14:52:18.979;14:52:18.979;9:23.585;J;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;563,585;Luigi Stanco;3
114;van ;van Dam;Carlo;10651;Schrick;Tim;ITC-C1053394;Lasee;Marcel;ITC-C1041374;Sasaki;Kota;ITB 2433 8656 0220;NLD ;SUBARU TECNICA INTERNATIONAL;PRO                                                         ;SUBARU  WRX STI;1;14:29:38.943;14:29:38.943;9:12.598;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;552,598;            ;4
114;van ;van Dam;Carlo;10651;Schrick;Tim;ITC-C1053394;Lasee;Marcel;ITC-C1041374;Sasaki;Kota;ITB 2433 8656 0220;NLD ;SUBARU TECNICA INTERNATIONAL;PRO                                                         ;SUBARU  WRX STI;2;14:38:47.376;14:38:47.376;9:08.433;J;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;548,433;            ;4
114;van ;van Dam;Carlo;10651;Schrick;Tim;ITC-C1053394;Lasee;Marcel;ITC-C1041374;Sasaki;Kota;ITB 2433 8656 0220;NLD ;SUBARU TECNICA INTERNATIONAL;PRO                                                         ;SUBARU  WRX STI;3;14:57:16.433;14:57:16.433;9:35.519;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;575,519;            ;1
114;van ;van Dam;Carlo;10651;Schrick;Tim;ITC-C1053394;Lasee;Marcel;ITC-C1041374;Sasaki;Kota;ITB 2433 8656 0220;NLD ;SUBARU TECNICA INTERNATIONAL;PRO                                                         ;SUBARU  WRX STI;4;15:10:37.381;15:10:37.381;9:30.461;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;570,461;            ;1
116;Kofl;Kofler;Reinhard;IT-CJA1807;Siljehaug;Mads;itb NO40092;Hofer;Max;ITCJA2669;Heinemann;Tim;ITC-C1141287;AUT ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;1;14:58:22.058;14:58:22.058;8:30.698;N;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;510,698;            ;4
116;Kofl;Kofler;Reinhard;IT-CJA1807;Siljehaug;Mads;itb NO40092;Hofer;Max;ITCJA2669;Heinemann;Tim;ITC-C1141287;AUT ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;2;15:06:38.887;15:06:38.887;8:16.829;J;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;496,829;            ;4
117;Stuc;Stuck;Ferdinand;ITC-C1107948;Stuck;Johannes;ITC1097303;Palttala;Markus;22804873;Kofler;Reinhard;IT-CJA1807;DEU ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;1;14:33:50.178;14:33:50.178;9:02.103;N;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;542,103;            ;1
117;Stuc;Stuck;Ferdinand;ITC-C1107948;Stuck;Johannes;ITC1097303;Palttala;Markus;22804873;Kofler;Reinhard;IT-CJA1807;DEU ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;2;14:42:19.781;14:42:19.781;8:29.603;J;SP-X                                                        ;0000SP-X                                                        ;;SP-X    ;509,603;            ;1
118;Buss;Bussmann;Jürgen;ITC-C1068474;Kriese;Oliver;ITC-C1172148;Lachmayer;Michael;ITC-C1096530;Lachmayer;Yannik;ITC-C1138188;DEU ;;PRO-AM                                                      ;Dacia Logan;1;14:29:35.804;14:29:35.804;12:09.138;N;SP 3                                                        ;0000SP 3                                                        ;;SP 3    ;729,138;            ;1
118;Buss;Bussmann;Jürgen;ITC-C1068474;Kriese;Oliver;ITC-C1172148;Lachmayer;Michael;ITC-C1096530;Lachmayer;Yannik;ITC-C1138188;DEU ;;PRO-AM                                                      ;Dacia Logan;2;14:46:55.513;14:46:55.513;11:41.428;J;SP 3                                                        ;0000SP 3                                                        ;;SP 3    ;701,428;            ;1
